date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:42:01	109/109	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2011%20Feb%202024%2017:41:59%20GMT	https://wieisdemol.avrotros.nl/robots.txt		(from )
18:42:02	87520/87520	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20Feb%202024%2017:39:33%20GMT	https://wieisdemol.avrotros.nl/kandidaten/	/home/silke/websites/wieisdemol/wieisdemol.avrotros.nl/kandidaten/index.html	(from )
18:42:02	102756/102756	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2011%20Feb%202024%2017:41:50%20GMT	https://wieisdemol.avrotros.nl/home/	/home/silke/websites/wieisdemol/wieisdemol.avrotros.nl/home/index.html	(from )
18:42:02	96825/96825	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2011%20Feb%202024%2017:39:42%20GMT	https://wieisdemol.avrotros.nl/afleveringen/item/aflevering-6/	/home/silke/websites/wieisdemol/wieisdemol.avrotros.nl/afleveringen/item/aflevering-6/index.html	(from )
18:42:03	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2011%20Feb%202024%2017:42:03%20GMT	https://www.googletagmanager.com/gtm.js?id=	/home/silke/websites/wieisdemol/www.googletagmanager.com/gtm.b5445.delayed	(from https://wieisdemol.avrotros.nl/home/)
18:42:03	82837/82837	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20Feb%202024%2017:39:42%20GMT	https://wieisdemol.avrotros.nl/afleveringen/	/home/silke/websites/wieisdemol/wieisdemol.avrotros.nl/afleveringen/index.html	(from )
18:42:03	85849/85849	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20Feb%202024%2017:30:29%20GMT	https://wieisdemol.avrotros.nl/moltalk/	/home/silke/websites/wieisdemol/wieisdemol.avrotros.nl/moltalk/index.html	(from )
18:42:03	79265/79265	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20Feb%202024%2017:35:39%20GMT	https://wieisdemol.avrotros.nl/info/	/home/silke/websites/wieisdemol/wieisdemol.avrotros.nl/info/index.html	(from )
18:42:04	0/0	---MCZ	302	error ('Found')	text/html	date:Sun,%2011%20Feb%202024%2017:42:04%20GMT	https://wieisdemol.avrotros.nl/cdn-cgi/challenge-platform/scripts/jsd/main.js	/home/silke/websites/wieisdemol/wieisdemol.avrotros.nl/cdn-cgi/challenge-platform/scripts/jsd/main.js	(from https://wieisdemol.avrotros.nl/home/)
18:42:05	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2011%20Feb%202024%2017:42:05%20GMT	http://cookies.avrotros.nl/	/home/silke/websites/wieisdemol/cookies.avrotros.nl/index.html	(from https://wieisdemol.avrotros.nl/home/)
