date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:39:13	109/109	U-----	200	untouched ('OK')	text/html	date:Sun,%2011%20Feb%202024%2017:35:41%20GMT	https://wieisdemol.avrotros.nl/robots.txt		(from )
18:39:13	96825/96825	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2011%20Feb%202024%2017:39:12%20GMT	https://wieisdemol.avrotros.nl/afleveringen/item/aflevering-6/	/home/silke/websites/wieisdemol/wieisdemol.avrotros.nl/afleveringen/item/aflevering-6/index.html	(from )
18:39:13	102756/102756	U-----	200	untouched ('OK')	text/html	date:Sun,%2011%20Feb%202024%2017:34:24%20GMT	https://wieisdemol.avrotros.nl/home/	/home/silke/websites/wieisdemol/wieisdemol.avrotros.nl/home/index.html	(from )
18:39:13	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2011%20Feb%202024%2017:39:13%20GMT	http://cookies.avrotros.nl/	/home/silke/websites/wieisdemol/cookies.avrotros.nl/index.html	(from https://wieisdemol.avrotros.nl/home/)
18:39:13	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2011%20Feb%202024%2017:39:13%20GMT	http://ccm.npo.nl/	/home/silke/websites/wieisdemol/ccm.npo.nl/index.html	(from https://wieisdemol.avrotros.nl/home/)
18:39:13	53/53	---M--	302	error ('Found')	text/html	date:Sun,%2011%20Feb%202024%2017:39:13%20GMT	http://atconnect.npo.nl/	/home/silke/websites/wieisdemol/atconnect.npo.nl/index.html	(from https://wieisdemol.avrotros.nl/home/)
18:39:13	4263/4263	---MCZ	200	added ('OK')	application/javascript	etag:W/%22bf1ddfb2d5d70a716b6acf8e52f7394a%22	https://resources.assets.avrotros.nl/avrotros-resources/scripts/at-utm-atinternet.js?v=at-da9b7e544e	/home/silke/websites/wieisdemol/resources.assets.avrotros.nl/avrotros-resources/scripts/at-utm-atinternet75d3.js	(from https://wieisdemol.avrotros.nl/home/)
18:39:14	1077/1077	---MCZ	200	added ('OK')	application/javascript	etag:W/%228558fe29e546690c0a9afbc716274580%22	https://resources.assets.avrotros.nl/wieisdemol/scripts/core.js?v=at-21e3a71293	/home/silke/websites/wieisdemol/resources.assets.avrotros.nl/wieisdemol/scripts/core20cf.js	(from https://wieisdemol.avrotros.nl/home/)
18:39:15	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2011%20Feb%202024%2017:39:15%20GMT	http://fonts.gstatic.com/	/home/silke/websites/wieisdemol/fonts.gstatic.com/index.html	(from https://wieisdemol.avrotros.nl/home/)
18:39:15	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2011%20Feb%202024%2017:39:15%20GMT	http://search-api.avrotros.nl/	/home/silke/websites/wieisdemol/search-api.avrotros.nl/index.html	(from https://wieisdemol.avrotros.nl/home/)
18:39:15	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2011%20Feb%202024%2017:39:15%20GMT	http://fonts.googleapis.com/	/home/silke/websites/wieisdemol/fonts.googleapis.com/index.html	(from https://wieisdemol.avrotros.nl/home/)
18:39:15	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Sun,%2011%20Feb%202024%2017:39:14%20GMT	http://tag.aticdn.net/	/home/silke/websites/wieisdemol/tag.aticdn.net/index.html	(from https://wieisdemol.avrotros.nl/home/)
18:39:16	230/230	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2011%20Feb%202024%2017:39:16%20GMT	http://www.google-analytics.com/	/home/silke/websites/wieisdemol/www.google-analytics.com/index.html	(from https://wieisdemol.avrotros.nl/home/)
18:39:16	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2011%20Feb%202024%2017:39:16%20GMT	http://www.googletagmanager.com/	/home/silke/websites/wieisdemol/www.googletagmanager.com/index.html	(from https://wieisdemol.avrotros.nl/home/)
18:39:16	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2011%20Feb%202024%2017:39:16%20GMT	https://www.googletagmanager.com/gtm.js?id=	/home/silke/websites/wieisdemol/www.googletagmanager.com/gtm.b5445.delayed	(from https://wieisdemol.avrotros.nl/home/)
18:39:17	692/692	U-----	200	untouched ('')	application/json	date:Sat,%2006%20Jan%202024%2012:29:16%20GMT	https://wieisdemol.avrotros.nl/typo3conf/ext/wieisdemol_resources/Resources/Public/Favicon/manifest.json?v=at22	/home/silke/websites/wieisdemol/wieisdemol.avrotros.nl/typo3conf/ext/wieisdemol_resources/Resources/Public/Favicon/manifestf48c.json	(from https://wieisdemol.avrotros.nl/home/)
18:39:17	12517/12517	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2006%20Jan%202024%2012:29:16%20GMT	https://wieisdemol.avrotros.nl/typo3conf/ext/wieisdemol_resources/Resources/Public/Favicon/safari-pinned-tab.svg	/home/silke/websites/wieisdemol/wieisdemol.avrotros.nl/typo3conf/ext/wieisdemol_resources/Resources/Public/Favicon/safari-pinned-tab.svg	(from https://wieisdemol.avrotros.nl/home/)
18:39:18	917708/917708	---M--	200	added ('OK')	image/jpeg	etag:%22ae63b49969b59d9ef0fea8c11ee12a02%22	https://wieisdemol.assets.avrotros.nl/user_upload/widm24-aflevering6-afvragen.jpg	/home/silke/websites/wieisdemol/wieisdemol.assets.avrotros.nl/user_upload/widm24-aflevering6-afvragen.jpg	(from https://wieisdemol.avrotros.nl/home/)
18:39:19	104140/104140	---M--	200	added ('OK')	image/jpeg	etag:%22c03440d902457a0863ebed1cf1983a9e%22	https://wieisdemol.assets.avrotros.nl/user_upload/avatar-candidate-A.jpg	/home/silke/websites/wieisdemol/wieisdemol.assets.avrotros.nl/user_upload/avatar-candidate-A.jpg	(from https://wieisdemol.avrotros.nl/home/)
18:39:20	98252/98252	---M--	200	added ('OK')	image/jpeg	etag:%22a3a12dfddefa010cce211139d3bb33be%22	https://wieisdemol.assets.avrotros.nl/user_upload/avatar-candidate-B.jpg	/home/silke/websites/wieisdemol/wieisdemol.assets.avrotros.nl/user_upload/avatar-candidate-B.jpg	(from https://wieisdemol.avrotros.nl/home/)
18:39:21	98066/98066	---M--	200	added ('OK')	image/jpeg	etag:%2264681e49bc897c298d46024a5ebccfec%22	https://wieisdemol.assets.avrotros.nl/user_upload/avatar-candidate-C.jpg	/home/silke/websites/wieisdemol/wieisdemol.assets.avrotros.nl/user_upload/avatar-candidate-C.jpg	(from https://wieisdemol.avrotros.nl/home/)
18:39:22	88573/88573	---M--	200	added ('OK')	image/jpeg	etag:%223492c3dfad2296c2083796d2978d89d2%22	https://wieisdemol.assets.avrotros.nl/user_upload/avatar-candidate-D.jpg	/home/silke/websites/wieisdemol/wieisdemol.assets.avrotros.nl/user_upload/avatar-candidate-D.jpg	(from https://wieisdemol.avrotros.nl/home/)
18:39:23	110658/110658	---M--	200	added ('OK')	image/jpeg	etag:%22e4c89306abd24bb6591903785413ebab%22	https://wieisdemol.assets.avrotros.nl/user_upload/avatar-candidate-E.jpg	/home/silke/websites/wieisdemol/wieisdemol.assets.avrotros.nl/user_upload/avatar-candidate-E.jpg	(from https://wieisdemol.avrotros.nl/home/)
18:39:24	89228/89228	---M--	200	added ('OK')	image/jpeg	etag:%224cc27f266c1ee2d0d721a774eb243729%22	https://wieisdemol.assets.avrotros.nl/user_upload/avatar-candidate-F.jpg	/home/silke/websites/wieisdemol/wieisdemol.assets.avrotros.nl/user_upload/avatar-candidate-F.jpg	(from https://wieisdemol.avrotros.nl/home/)
18:39:25	105376/105376	---M--	200	added ('OK')	image/jpeg	etag:%22039004007e8eb6c0fa9667c4eca5db09%22	https://wieisdemol.assets.avrotros.nl/user_upload/avatar-candidate-G.jpg	/home/silke/websites/wieisdemol/wieisdemol.assets.avrotros.nl/user_upload/avatar-candidate-G.jpg	(from https://wieisdemol.avrotros.nl/home/)
18:39:26	93762/93762	---M--	200	added ('OK')	image/jpeg	etag:%22ae0a034325895ebc6f1af269caa7b454%22	https://wieisdemol.assets.avrotros.nl/user_upload/avatar-candidate-H.jpg	/home/silke/websites/wieisdemol/wieisdemol.assets.avrotros.nl/user_upload/avatar-candidate-H.jpg	(from https://wieisdemol.avrotros.nl/home/)
18:39:27	98334/98334	---M--	200	added ('OK')	image/jpeg	etag:%221a3dfb2b1a37c0823cf50960fcd6a246%22	https://wieisdemol.assets.avrotros.nl/user_upload/avatar-candidate-I.jpg	/home/silke/websites/wieisdemol/wieisdemol.assets.avrotros.nl/user_upload/avatar-candidate-I.jpg	(from https://wieisdemol.avrotros.nl/home/)
